id,Sex,W6,W12,W18,W24,Age,target
U127902,1,32.3,37.5,41.1,40.8,1204,704
U127909,1,39.1,42.2,42.2,41.7,807,307
U127916,1,34.4,40.1,42.6,43.8,1046,546
U128154,0,26.4,29.7,32.1,29.5,902,402
U128161,0,23.7,25.5,26.2,24.5,1089,589
U128168,0,23.1,26,29.3,28.6,951,451
U128175,0,24.9,33.5,39,35.5,819,319
U128203,0,24.5,33.4,38.4,34.4,926,426
U128210,0,29.9,43.1,50.3,46.5,896,396
U128217,0,31.2,42.3,44,0,539,39
U128224,0,21.7,25.6,31,30.3,1108,608
U128504,1,33.9,42.9,43.6,0,663,163
U128511,1,40.1,46.1,48.6,45.1,858,358
U128518,1,40.1,50.3,51.7,0,697,197
U128560,1,40.9,48,55.3,40.9,1024,524
U128567,1,30.6,33.2,35.7,33.9,928,428
U128574,0,21.4,29.8,34.5,33.3,968,468
U128581,0,29.6,35.6,38.3,36.7,860,360
U128588,0,30.7,42.7,45.9,45.3,831,331
U128595,0,28.7,39.6,46.4,0,634,134
U128623,0,29,32.9,39.4,44,751,251
U128630,0,28.6,37.7,41,41,896,396
U128637,0,28.5,32.3,36.7,0,718,218
U128644,0,28.4,39.8,46.8,43.7,859,359
U128679,1,31.6,35.9,37.9,0,629,129
U128686,1,33.4,40.8,39.9,38.1,1275,775
U128693,1,31.8,35.7,34.5,33.2,959,459
U128742,1,30.5,37.3,44,0,530,30
U128749,1,32.2,36.4,38.5,38.6,1001,501
U128756,1,36.2,45.6,49.3,50.8,1074,574
U128896,1,28.2,30.7,33.5,30.8,1159,659
U128903,1,31.3,35.2,38.1,36,1091,591
U128910,1,35.8,44.7,51.2,47.7,978,478
U128987,0,25.5,34.2,36.4,34.1,887,387
U128994,0,29.9,37.8,40.3,40.6,1085,585
U129001,0,28.2,38.3,48.2,45.6,950,450
U129092,0,23.1,34,37.1,36.3,1054,554
U129099,0,27.1,32,35.1,32.1,1008,508
U129106,0,28.4,35.8,40.8,42.8,797,297
U129113,0,29,43.1,59.9,56.4,977,477
U129120,0,27.8,35.5,38,33.4,806,306
U129127,0,24.9,28.1,30.7,32.2,1058,558
U129134,0,22.2,24.7,29,27.5,1093,593
U129141,0,25,30.3,39.2,39.9,1202,702
U129218,1,28.8,31.7,38.9,36.7,1325,825
U129225,1,28.8,34.6,40.5,33.7,898,398
U129232,1,26.6,29.5,31.6,24.2,822,322
U129260,1,34.9,36.3,37.2,0,721,221
U129267,1,33.6,37.5,38.3,29.8,742,242
U129274,1,39.8,44.4,46.4,42.9,925,425
U129421,1,28.8,33.8,37.8,34.6,1302,802
U129428,1,31,41.9,45.3,45.8,1105,605
U129435,1,31.5,37.3,40.3,37.7,1059,559
U129470,1,38.6,48.2,55.6,34.4,907,407
U129477,1,32.3,37.5,42.1,37.3,1036,536
U129484,1,31.9,42.9,50.4,48.7,864,364
U129561,0,32.9,42.5,54.8,56.1,860,360
U129568,0,39.2,53.2,58.4,54.6,882,382
U129575,0,30.3,37.4,45.4,44.9,886,386
U129582,0,26.3,32.4,43.6,36,912,412
U129617,1,34.5,35.9,38,38,1094,594
U129624,1,44.3,50.7,51.5,41.8,1017,517
U129631,1,38.3,45.2,48.2,41,761,261
U129638,1,32.8,34.9,40.6,38.5,1089,589
U129645,1,39.6,42.6,48.9,48.6,799,299
U129652,1,41.5,42.5,47.8,45.3,1117,617
UT03533,1,41.2,45.5,39.1,41.4,855,355
UT03534,1,38.4,45.4,42,27.5,760,260
UT03535,1,46.2,53.7,44,0,531,31
UT03554,0,42.2,52.4,52.4,39.5,790,290
UT03555,0,39,53.1,57.1,54.7,1062,562
UT03556,0,27.1,45.8,51.9,62.1,985,485
UT03557,0,33.7,45,42.8,43.4,913,413
UT03558,1,41.4,50.2,53.9,54.1,909,409
UT03559,1,46.7,46.7,47.9,0,706,206
UT03560,1,53.2,55.8,59.8,55.3,903,403
UT03571,0,29.3,37.5,40.2,36.3,796,296
UT03572,0,31.2,47.3,49.3,51.3,1021,521
UT03573,0,35.5,46.2,52,44.6,753,253
UT03574,0,27.3,27.2,35.4,37.9,737,237
UT03599,0,34.2,38.7,39.1,38.6,952,452
UT03600,0,44.1,58.6,68.6,68.9,1072,572
UT03601,0,36,44,48.7,48.2,999,499
UT03602,0,23.8,28.3,33.4,33.4,1014,514
UT03603,0,33.2,45.1,50.8,49.8,746,246
UT03604,0,35.8,45.6,40,47.8,1005,505
UT03605,0,35.5,55.3,61.9,54.3,853,353
UT03606,0,36.3,45.7,44,0,527,27
UT03616,0,33.6,47.8,54.4,0,727,227
UT03617,0,33.5,42.7,41.8,0,676,176
UT03618,0,30.5,42.2,43.5,45.3,1213,713
UT03619,0,29.5,36,41.8,42.1,847,347
UT03623,0,27.5,28.2,30.2,0,691,191
UT03624,0,39.1,49.1,54.1,51.2,928,428
UT03625,0,27.5,32.7,38,29.7,776,276
UT03626,0,49.9,58.7,61.4,46.2,740,240
UT03627,1,44.6,50.1,44,0,393,-107
UT03628,1,37.5,43.5,45.1,44.2,851,351
UT03629,1,45.8,49,50.2,48.3,949,449
UT03636,1,43,46.8,48.7,31.2,730,230
UT03637,1,37.5,38.3,40.5,41,1133,633
UT03638,1,39.1,40.9,37.8,0,574,74
UT03682,0,26.9,32,29.8,0,596,96
UT03683,0,26.6,31.3,34.2,35.2,963,463
UT03684,0,43.4,60.2,65.5,0,610,110
UT03685,0,28.1,34.3,37.7,0,648,148
UT03731,1,44.6,45.6,44,0,344,-156
UT03732,1,43.6,47.8,49.1,53.5,917,417
UT03733,1,43.6,46.6,44,0,456,-44
UT03744,0,40.6,49.8,59.6,0,690,190
UT03745,0,35.6,51.1,56.1,51.2,793,293
UT03746,0,38.1,48.5,56.5,55.3,1057,557
UT03747,0,36.3,52.3,55.4,47.5,805,305
UT03751,1,51.4,60.3,39.2,0,623,123
UT03752,1,44.7,45.6,44,0,312,-188
UT03753,1,46.1,48.2,47.4,0,718,218
UT03754,1,47.6,45.6,44,0,330,-170
UT03755,1,46.2,45.6,44,0,244,-256
UT03756,1,48.1,51.1,53,41.7,810,310
UT03801,1,44.8,48.5,51.3,53.5,918,418
UT03802,1,44.4,51.2,53.9,57.1,946,446
UT03803,1,52.9,64.2,60.7,62.2,901,401
UT03811,1,44.7,45.6,44,0,291,-209
UT03812,1,45.8,46.9,44,0,460,-40
UT03813,1,45.3,41.8,47.4,0,661,161
UT03828,1,52.9,45.6,44,0,344,-156
UT03829,1,42.4,47.6,49.5,45.9,974,474
UT03830,1,42,46,48.5,46.5,968,468
UT03831,0,23.7,31.6,33.9,42.1,1020,520
UT03832,0,32.6,37.6,37.8,40.1,790,290
UT03833,0,23.1,27.9,32.9,39.3,867,367
UT03834,0,22.6,24.3,27.4,27.6,928,428
UT03839,1,50.1,57.4,44,0,581,81
UT03840,1,47.3,50.9,52.8,0,610,110
UT03841,1,46.8,49.5,50.1,32.5,797,297
UT03846,1,45.9,47.9,36.1,0,698,198
UT03847,1,47.4,50.4,55.3,0,641,141
UT03848,1,45.8,48.8,48.9,0,676,176
UT03852,1,44.4,42,44,0,481,-19
UT03853,1,52.6,44.1,52,48.6,893,393
UT03854,1,51.5,51.3,53.9,38.1,789,289
UT03862,1,49.3,45.6,44,0,257,-243
UT03863,1,50.2,52.1,34.6,25.5,1013,513
UT03864,1,39.2,44.8,47,45.9,1015,515
UT03876,0,26.5,36.5,43.3,33.7,785,285
UT03877,0,30.6,45.5,54.8,59,854,354
UT03878,0,23.1,28.8,33.9,35,1042,542
UT03879,0,28.5,44.1,50.3,54.6,978,478
UT03880,1,40.5,44.1,44.4,47,803,303
UT03881,1,53.4,45.6,44,0,295,-205
UT03882,1,43.8,47,46.5,0,612,112
UT03887,1,47,45.6,44,0,268,-232
UT03888,1,34.9,44.6,42.7,0,637,137
UT03889,1,33.5,42.8,45.1,41,851,351
UT03890,1,46.2,50.4,53.7,0,704,204
UT03891,1,42.5,45.6,44,0,354,-146
UT03892,1,47.9,51.7,53,52.2,861,361
UT03900,1,41.5,46.5,50.1,40.2,783,283
UT03901,1,46.4,53.2,55.6,0,678,178
UT03902,1,41.6,47.1,49.7,0,666,166
UT03950,1,46,47.7,50.3,51.1,1088,588
UT03951,1,47.7,45.6,44,0,340,-160
UT03952,1,49.9,53.4,44,0,432,-68
UT03953,0,48.2,60.6,64.5,42.7,870,370
UT03954,0,24.6,29.5,33.1,36.5,968,468
UT03955,0,34.6,43.5,39.3,0,597,97
UT03956,0,33.1,46.7,54.5,56.7,1063,563
UT03957,1,42.7,50.8,54.1,56.1,978,478
UT03958,1,49.1,50.8,53.9,47.8,877,377
UT03959,1,35.9,39.6,44,0,441,-59
UT03970,0,31.3,38.2,44.6,44.4,971,471
UT03971,0,40,42.6,52,51.1,1019,519
UT03972,0,29,33.9,40.5,38.2,1193,693
UT03973,0,36.3,46.8,60.1,57.9,1209,709
UT03981,1,38.4,44.8,46.2,43.1,1129,629
UT03982,1,44.3,45.6,44,0,248,-252
UT03983,1,40,46,49.4,52.4,1021,521
UT03984,0,27.8,31.5,32.2,32.8,776,276
UT03985,0,31.7,38.6,37.2,33.9,898,398
UT03986,0,39.2,50.8,55.1,53.9,839,339
UT03987,0,26.9,36.7,43.7,46.3,806,306
UT03992,1,40.7,44.5,46,45.3,839,339
UT03993,1,48.2,59,44,0,454,-46
UT03994,1,49.1,52.1,44,0,381,-119
UT04005,0,29.1,32.9,39.8,35.6,993,493
UT04006,0,35.9,41.9,46.4,38.5,912,412
UT04007,0,30.6,40.8,45,0,704,204
UT04008,0,35.3,51.4,61.2,0,638,138
UT04029,1,49.7,58.2,57.7,0,681,181
UT04030,1,44.1,50.3,44,0,497,-3
UT04031,1,34.1,42.5,42.5,39.2,987,487
UT04042,1,46.3,46.6,47.9,35,772,272
UT04043,1,39.3,43.7,34,33.7,1070,570
UT04044,1,49.8,62.6,44,0,523,23
UT04049,0,32.2,42.7,43.4,45.7,1015,515
UT04050,0,35.4,44.2,46.5,51.3,900,400
UT04051,0,42.1,44.1,44,0,419,-81
UT04052,0,44.6,56.2,65,0,664,164
UT04064,0,36.3,40.3,45.9,43.1,902,402
UT04065,0,37.8,41.5,47.2,48.1,951,451
UT04066,0,35.1,39.4,46.9,42.7,771,271
UT04067,0,44.5,49.7,44,0,547,47
UT04071,1,37.6,44,42.3,39.9,811,311
UT04072,1,42.5,46,40.8,0,655,155
UT04073,1,40.1,45.4,40.5,36.8,1086,586
UT04089,0,50.1,57.5,62,65.2,820,320
UT04090,0,33.2,30.7,30,31.6,1117,617
UT04091,0,30.7,33.7,37.1,38.2,892,392
UT04092,0,35.3,49.5,52.9,45.4,805,305
UT04093,0,42.7,60.8,75.9,76.2,1039,539
UT04094,0,34.8,44.1,44,0,500,0
UT04095,0,32.4,42,46.7,46.3,1034,534
UT04096,0,41.1,56.8,62.8,56.3,1070,570
UT04101,0,31.8,39.5,46.9,48.6,1116,616
UT04102,0,26.5,34.5,38.9,41.2,871,371
UT04103,0,24.7,32,39.7,46.2,1209,709
UT04104,0,34.7,46.8,49,53.7,954,454
UT04105,1,38.5,48.3,49.9,47.9,782,282
UT04106,1,44.6,48.2,51.6,52.7,961,461
UT04107,1,44.6,48.4,51,48.1,836,336
UT04112,1,36.4,43.7,44.3,0,626,126
UT04113,1,40.6,46.6,45.5,47,909,409
UT04114,1,36.5,44.4,46.6,51.5,1076,576
UT04134,1,36.3,40.9,42.3,43.4,1022,522
UT04135,1,53.2,58.5,62.5,0,585,85
UT04136,1,46.7,47.8,49.4,48.2,905,405
UT04167,0,37.9,49.7,58.4,60.5,1055,555
UT04168,0,53.3,67,73.8,82.9,870,370
UT04169,0,31.3,40.4,38,32.6,780,280
UT04170,0,41.2,60.9,69.2,71.2,995,495
UT04181,1,48.9,45.6,44,0,284,-216
UT04182,1,50.6,45.6,44,0,261,-239
UT04183,1,45.3,50.2,44,0,425,-75
UT04184,1,48.5,56.3,44,0,513,13
UT04185,1,46.7,48.7,49.4,49,850,350
UT04186,1,46,50.3,51.3,54.5,884,384
UT04187,0,40.7,54.5,61.1,62.9,928,428
UT04188,0,39.1,53.8,58.1,60.2,840,340
UT04189,0,32.7,37.9,44,0,473,-27
UT04190,0,25.7,37,43.4,45.9,770,270
UT04195,1,45.9,54.4,55.6,0,607,107
UT04196,1,48,52.8,52,0,678,178
UT04197,1,51,54,55.4,0,665,165
UT04218,0,44.3,61.8,66.9,79.7,864,364
UT04219,0,34.9,42.6,39,37.2,819,319
UT04220,0,36.9,47.4,51,0,708,208
UT04221,0,42.1,43.2,44,47.8,815,315
UT04232,0,41.3,42.1,39.7,0,667,167
UT04233,0,44.8,51.2,54.1,0,587,87
UT04234,0,52.1,56.4,61.3,59.9,871,371
UT04235,0,50.2,57.9,58.8,0,616,116
UT04239,1,47.2,50.2,55.1,56.1,948,448
UT04240,1,48.4,55.7,44,0,517,17
UT04241,1,44.6,45.6,44,0,293,-207
UT04268,1,39.4,48.7,53.2,0,616,116
UT04269,1,39,45.9,49.9,48.5,986,486
UT04270,1,41.6,45.8,49.3,47.5,767,267
JL06009,0,31,43,54,43,816,316
JL06010,0,42,54,61,61,977,477
JL06011,0,40,54,61,58,1200,700
JL06012,0,54,59,68,67,837,337
JL06021,0,28,36,43,35,774,274
JL06022,0,20,23,24,0,846,346
JL06023,0,25,36,44,0,690,190
JL06024,0,22,25,31,30,969,469
JL06029,0,40,48,49,0,262,-238
JL06030,0,39,50,59,43,1033,533
JL06031,0,33,42,49,41,1172,672
JL06032,0,25,27,30,30,990,490
JL06033,0,43,49,56,55,1035,535
JL06034,0,35,45,51,44,873,373
JL06035,0,36,43,56,0,677,177
JL06036,0,38,52,57,0,726,226
JL06054,1,45,55,46,0,593,93
JL06055,1,51,45.6,44,0,235,-265
JL06056,1,45,50,44,0,524,24
JL06060,1,50,55,50,35,1092,592
JL06061,1,42,45.6,44,0,272,-228
JL06062,1,37,37,38,37,1139,639
JL06078,1,38,46,47,28,760,260
JL06079,1,38,46,44,0,390,-110
JL06080,1,34,43,47,35,739,239
JL06084,1,42,52,20,0,566,66
JL06085,1,47,50,45,0,677,177
JL06086,1,47,55,44,0,566,66
JL06090,0,36,41,50,43,1190,690
JL06091,0,38,59,69,54,842,342
JL06092,0,33,38,42,25,960,460
JL06093,0,32,35,45,39,931,431
JL06094,1,28,45.6,44,0,196,-304
JL06095,1,44,45.6,44,0,196,-304
JL06096,1,30,45.6,44,0,196,-304
JL06103,0,37,46,55,48,775,275
JL06104,0,40,52,61,0,697,197
JL06105,0,31,38,45,37,1222,722
JL06106,0,46,57,64,0,697,197
JL06111,0,44,50,60,61,1174,674
JL06112,0,42,52,62,64,1047,547
JL06113,0,40,47,44,0,466,-34
JL06114,0,26,33,42,40,767,267
JL06122,1,45,41,46,34,1012,512
JL06123,1,47,49,54,54,1067,567
JL06124,1,46,51,53,0,683,183
JL06131,1,46,50,46,0,688,188
JL06132,1,50,54,47,0,683,183
JL06133,1,46,49,50,44,795,295
JL06134,1,43,45.6,44,0,340,-160
JL06135,1,45,48,48,47,887,387
JL06136,1,41,46,44,0,425,-75
JL06145,0,32,43,56,56,848,348
JL06146,0,35,46,53,48,827,327
JL06147,0,43,56,64,66,980,480
JL06148,0,41,49,56,47,996,496
JL06157,0,31,38,44,45,987,487
JL06158,0,34,40,55,0,910,410
JL06159,0,31,44,54,54,791,291
JL06160,0,28,32,40,42,1190,690
JL06178,1,50,55,55,36,840,340
JL06179,1,43,46,47,0,629,129
JL06180,1,43,47,47,44,839,339
JL06199,1,48,45.6,44,0,350,-150
